Date,Rest/Recumbent,Start Time,Stop Time,Duration,Location,Conspecifics,
12/21/20,Rest,20:28:08,21:49:22,1:21:14,1,,
12/21/20,Rest,21:51:13,22:47:19,0:56:06,1,,
12/21/20,Rest,23:22:32,0:47:22,1:24:50,1,,
12/21/20,Rest,0:50:16,1:10:22,0:20:06,1,,
12/21/20,Rest,1:11:18,2:13:22,1:02:04,1,B,
12/21/20,Rest,2:15:11,2:30:18,0:15:07,1,,
12/21/20,Rest,2:31:49,2:52:17,0:20:28,1,,
12/21/20,Rest,2:57:52,3:17:36,0:19:44,1,,
12/21/20,Rest,3:19:25,4:50:30,1:31:05,1,,
12/21/20,Rest,5:20:21,5:22:31,0:02:10,1,,
12/21/20,Rest,5:25:15,5:28:47,0:03:32,1,,
12/21/20,Rest,5:31:55,6:00:00,0:28:05,1,,
12/22/20,Rest,20:00:00,20:02:17,0:02:17,7,,
12/22/20,Recumbent,20:10:44,20:50:12,0:39:28,7,,
12/22/20,Rest,21:44:47,21:47:20,0:02:33,7,,
12/22/20,Rest,21:53:36,21:58:30,0:04:54,7,,
12/22/20,Rest,22:07:07,22:12:32,0:05:25,7,,
12/22/20,Rest,22:22:10,22:25:19,0:03:09,7,,
12/22/20,Recumbent,22:26:58,0:02:50,1:35:52,7,,
12/22/20,Recumbent,0:48:48,1:45:21,0:56:33,7,,
12/22/20,Recumbent,1:48:32,2:53:34,1:05:02,7,,
12/22/20,Recumbent,2:55:03,3:56:59,1:01:56,7,,
12/22/20,Recumbent,3:59:19,4:41:23,0:42:04,7,,
12/22/20,Rest,4:46:24,5:32:32,0:46:08,E,,
12/23/20,Rest,20:38:39,22:16:50,1:38:11,1,,
12/23/20,Rest,22:17:44,22:33:34,0:15:50,1,B,
12/23/20,Rest,22:52:43,0:27:07,1:34:24,1,,
12/23/20,Rest,0:29:25,1:13:20,0:43:55,1,,
12/23/20,Rest,0:23:00,1:36:36,1:13:36,1,,
12/23/20,Rest,1:37:38,2:00:02,0:22:24,1,,
12/23/20,Rest,2:02:11,2:32:55,0:30:44,1,,
12/23/20,Rest,2:34:12,3:37:46,1:03:34,1,,
12/23/20,Rest,2:41:18,2:44:36,0:03:18,1,,
12/23/20,Recumbent,2:46:38,2:51:20,0:04:42,2,,
12/23/20,Rest,2:52:22,3:56:03,1:03:41,1,,
12/23/20,Rest,3:58:19,4:51:10,0:52:51,1,,
12/23/20,Rest,4:53:40,5:16:39,0:22:59,1,,
12/23/20,Rest,5:21:44,5:26:22,0:04:38,1,,
12/24/20,Rest,20:00:00,20:02:26,0:02:26,E,,
12/24/20,Rest,21:06:17,21:28:01,0:21:44,E,,
12/24/20,Rest,22:49:58,22:51:36,0:01:38,E,,
12/24/20,Rest,22:54:40,23:23:30,0:28:50,E,B,
12/24/20,Recumbent,23:59:53,0:18:11,0:18:18,E,,
12/24/20,Recumbent,0:52:35,3:19:49,2:27:14,E,,
12/24/20,Recumbent,3:22:21,3:25:38,0:03:17,E,,
12/24/20,Rest,3:29:24,4:01:52,0:32:28,E,,
12/24/20,Rest,4:03:50,5:32:17,1:28:27,E,,
12/24/20,Rest,5:51:13,5:58:50,0:07:37,E,,
12/25/20,Rest,20:01:24,20:02:57,0:01:33,7,,
12/25/20,Rest,20:15:46,20:18:32,0:02:46,7,B,
12/25/20,Rest,21:26:08,21:31:44,0:05:36,7,W,
12/25/20,Rest,21:35:36,22:03:45,0:28:09,7,W,Fighting over vent
12/25/20,Rest,22:08:40,22:10:48,0:02:08,7,,
12/25/20,Rest,22:41:15,22:47:48,0:06:33,7,W,
12/25/20,Rest,22:53:13,22:55:43,0:02:30,7,W,
12/25/20,Rest,22:58:16,23:01:21,0:03:05,7,W,
12/25/20,Rest,23:05:05,23:15:09,0:10:04,7,,
12/25/20,Recumbent,23:16:38,23:22:27,0:05:49,7,W,
12/25/20,Rest,23:24:02,23:29:20,0:05:18,7,,
12/25/20,Recumbent,23:40:52,23:47:57,0:07:05,7,W,
12/25/20,Rest,23:52:34,23:57:16,0:04:42,7,,
12/25/20,Rest,0:13:08,0:18:32,0:05:24,7,,
12/25/20,Rest,0:26:09,0:54:41,0:28:32,7,W,
12/25/20,Recumbent,0:54:41,2:01:42,1:07:01,7,W,
12/25/20,Recumbent,2:02:36,3:00:56,0:58:20,7,W,
12/25/20,Recumbent,3:03:27,4:50:02,1:46:35,7,W,
12/26/20,Recumbent,20:00:00,20:15:20,0:15:20,4,,
12/26/20,Recumbent,23:46:02,1:35:10,1:49:08,4,,
12/26/20,Recumbent,1:35:43,3:28:49,1:53:06,4,B,
12/26/20,Rest,4:07:22,4:09:48,0:02:26,3,,
12/26/20,Recumbent,4:14:21,4:17:37,0:03:16,4,,
12/27/20,Rest,20:03:33,20:10:29,0:06:56,7,,
12/27/20,Rest,20:30:15,20:34:24,0:04:09,7,,
12/27/20,Rest,20:50:10,21:06:20,0:16:10,7,W,
12/27/20,Rest,21:08:24,21:43:38,0:35:14,7,W,
12/27/20,Recumbent,21:46:09,22:02:52,0:16:43,7,W,
12/27/20,Rest,22:41:45,22:53:50,0:12:05,7,W,
12/27/20,Rest,22:46:37,23:00:57,0:14:20,7,B,
12/27/20,Rest,23:03:28,23:06:09,0:02:41,7,B,
12/27/20,Rest,23:07:53,23:10:48,0:02:55,7,,
12/27/20,Rest,23:12:43,23:15:00,0:02:17,7,,
12/27/20,Rest,23:17:39,23:40:04,0:22:25,7,W,
12/27/20,Recumbent,23:40:04,0:03:22,0:23:18,7,W,
12/27/20,Rest,0:10:56,0:25:30,0:14:34,7,W,
12/27/20,Rest,0:28:07,0:30:08,0:02:01,7,B,
12/27/20,Rest,0:47:18,1:16:46,0:29:28,7,,
12/27/20,Rest,1:18:01,1:24:11,0:06:10,7,,
12/27/20,Rest,1:27:07,1:39:36,0:12:29,7,,
12/27/20,Recumbent,1:39:36,2:15:34,0:35:58,7,W,
12/27/20,Recumbent,2:17:21,4:39:38,2:22:17,7,W,
12/27/20,Rest,4:43:29,5:10:18,0:26:49,7,W,
12/27/20,Rest,5:14:21,5:32:33,0:18:12,E,,
12/28/20,Rest,23:28:50,23:37:42,0:08:52,E,P,
12/28/20,Recumbent,23:57:54,0:13:18,0:15:24,E,,
12/28/20,Recumbent,0:38:42,3:16:04,2:37:22,E,,
12/28/20,Recumbent,3:18:40,4:52:02,1:33:22,E,0:24:02,
12/28/20,Rest,5:03:11,5:32:30,0:29:19,E,,
12/29/20,Rest,20:02:40,20:41:53,0:39:13,1,,
12/29/20,Rest,21:06:14,21:21:18,0:15:04,1,W,
12/29/20,Rest,21:22:35,21:45:34,0:22:59,1,,
12/29/20,Rest,22:20:25,23:44:26,1:24:01,1,,
12/29/20,Rest,23:48:36,23:56:13,0:07:37,1,B,
12/29/20,Rest,0:17:11,0:52:22,0:35:11,1,,
12/29/20,Rest,0:54:09,2:44:59,1:50:50,1,BW,
12/29/20,Recumbent,2:44:59,3:39:12,0:54:13,1,W,
12/29/20,Rest,3:40:18,5:18:06,1:37:48,1,BW,
12/30/20,Rest,20:00:00,20:09:28,0:09:28,1,,
12/30/20,Rest,21:16:59,22:17:14,1:00:15,1,,
12/30/20,Rest,22:20:28,0:55:39,2:35:11,1,,
12/30/20,Rest,0:58:21,2:28:52,1:30:31,1,,
12/30/20,Rest,2:41:21,4:55:32,2:14:11,1,,
12/31/20,Rest,20:13:05,20:37:07,0:24:02,1,,
12/31/20,Rest,21:19:08,21:24:26,0:05:18,1,,
12/31/20,Rest,22:54:04,0:16:25,1:22:21,1,,
12/31/20,Rest,0:38:08,2:51:24,2:13:16,1,,
12/31/20,Rest,2:53:50,5:00:36,2:06:46,1,,
1/1/21,Recumbent,20:39:06,21:24:11,0:45:05,E,P,
1/1/21,Recumbent,23:02:29,23:55:34,0:53:05,E,,
1/1/21,Recumbent,0:37:18,3:08:09,2:30:51,E,,
1/1/21,Rest,3:09:17,5:31:30,2:22:13,E,B,
1/4/21,Rest,20:55:48,21:08:48,0:13:00,7,W,
1/4/21,Rest,21:17:44,22:03:09,0:45:25,7,W,
1/4/21,Rest,22:28:37,22:44:49,0:16:12,7,W,
1/4/21,Rest,22:47:41,22:05:36,23:17:55,7,W,
1/4/21,Recumbent,22:05:36,23:25:30,1:19:54,7,W,
1/4/21,Rest,23:26:23,0:03:52,0:37:29,7,,
1/4/21,Rest,0:16:06,0:25:16,0:09:10,7,W,
1/4/21,Rest,0:35:01,0:40:42,0:05:41,7,W,
1/4/21,Recumbent,0:40:42,0:48:31,0:07:49,7,W,
1/4/21,Rest,0:52:34,1:09:11,0:16:37,7,W,
1/4/21,Recumbent,1:09:11,2:02:13,0:53:02,7,W,
1/4/21,Recumbent,2:04:25,3:22:19,1:17:54,7,W,
1/4/21,Rest,3:28:08,3:37:35,0:09:27,7,W,
1/4/21,Rest,3:39:53,4:59:18,1:19:25,E,,
1/4/21,Rest,5:01:31,5:33:04,0:31:33,E,W,
1/5/21,Rest,20:00:00,20:13:43,0:13:43,7,,
1/5/21,Rest,20:24:51,20:28:27,0:03:36,7,,
1/5/21,Rest,20:53:00,21:09:05,0:16:05,7,,
1/5/21,Rest,21:21:03,21:47:26,0:26:23,7,,
1/5/21,Recumbent,21:47:26,22:21:33,0:34:07,7,,
1/5/21,Recumbent,23:13:59,0:51:39,1:37:40,7,,
1/5/21,Rest,1:21:24,1:24:14,0:02:50,7,,
1/5/21,Rest,1:28:08,1:33:27,0:05:19,7,,
1/5/21,Recumbent,1:33:27,3:25:29,1:52:02,7,,
1/5/21,Recumbent,3:26:05,4:28:12,1:02:07,7,,
1/5/21,Rest,4:34:04,5:33:02,0:58:58,E,,
1/6/21,Rest,20:00:00,20:03:21,0:03:21,7,,
1/6/21,Rest,21:38:44,21:44:23,0:05:39,7,,
1/6/21,Recumbent,21:44:23,22:03:31,0:19:08,7,,
1/6/21,Rest,22:42:00,22:46:26,0:04:26,7,,
1/6/21,Recumbent,22:46:26,23:35:13,0:48:47,7,,
1/6/21,Recumbent,23:36:49,0:03:02,0:26:13,7,W,
1/6/21,Rest,0:22:49,0:29:17,0:06:28,7,,
1/6/21,Recumbent,0:52:41,0:58:07,0:05:26,7,,
1/6/21,Rest,1:11:24,1:17:57,0:06:33,7,W,
1/6/21,Recumbent,1:17:57,3:06:07,1:48:10,7,W,
1/6/21,Rest,3:06:42,4:46:31,1:39:49,7,,
1/6/21,Rest,4:50:50,5:30:44,0:39:54,E,W,